,0,1,2,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage
116,"€ 2,500/month","Single-family detached house 164 m², Mondorf-les-Bains Localité, Mondorf-les-Bains",https://www.immotop.lu/en/annonces/1674097/,Single-family detached house,Rent,Ground floor,No,164 m²,3,3,2,0,No,1 in garage/box
117,"€ 2,000/month","2-room flat second floor, Fentange, Hesperange",https://www.immotop.lu/en/annonces/1680007/,Apartment,Rent,2,Yes,90 m²,2,2,1,0,No,0
118,"€ 2,860/month","Single-family detached house 200 m², Remerschen, Schengen",https://www.immotop.lu/en/annonces/1681583/,Single-family detached house,Rent,Ground floor,No,200 m²,5,5,2,0,Yes,0
119,"€ 2,000/month","Studio rue des Bains, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1605539/,Studio,Rent,2,Yes,38 m²,0,0,1,Yes,No,0
120,"€ 1,850/month","Apartment avenue de la faiencerie, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1696123/,Apartment,Rent,Ground floor,No,65 m²,0,0,0,0,No,0
121,"€ 3,800/month","Single-family detached house 13 rue Mathias Birton, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1634673/,Single-family detached house,Rent,Ground floor,No,190 m²,4,4,2,0,Yes,0
122,"€ 2,000/month","1-bedroom flat first floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1652739/,Apartment,Rent,1,Yes,50 m²,1,1,1,0,Yes,0
123,"€ 1,550/month","Apartment excellent condition, third floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1696711/,Apartment,Rent,3,Yes,48 m²,0,0,1,Yes,No,0
124,"€ 3,350/month","2-room flat Rue Alfred de Musset, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1683077/,Apartment,Rent,3,Yes,76 m²,2,2,2,Yes,0,0
125,"€ 2,600/month","2-room flat excellent condition, first floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1671109/,Apartment,Rent,1,Yes,83 m²,2,2,1,0,0,0
126,"€ 1,850/month","1-bedroom flat excellent condition, first floor, Strassen",https://www.immotop.lu/en/annonces/1362465/,Apartment,Rent,1,Yes,60 m²,1,1,1,0,No,0
127,"€ 2,400/month","2-room flat 129 Rue De Strasbourg, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1684741/,Apartment,Rent,Ground floor,Yes,76 m²,2,2,1,Yes,0,0
128,"€ 2,350/month","1-bedroom flat first floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1691693/,Apartment,Rent,1,Yes,80 m²,1,1,1,0,0,0
129,"€ 3,000/month","2-room flat second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1685355/,Apartment,Rent,2,No,135 m²,2,2,2,0,0,0
130,"€ 2,400/month","2-room flat new, ground floor, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1668731/,Apartment,Rent,Ground floor,No,76 m²,2,2,1,0,No,0
131,"€ 3,300/month","3-room flat excellent condition, third floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1617805/,Apartment,Rent,3,No,0,3,3,1,Yes,No,0
132,"€ 1,800/month","Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1641519/,Studio,Rent,2,No,30 m²,0,0,1,0,No,0
133,"€ 1,400/month","Studio for rent, Gare, Luxembourg",https://www.immotop.lu/en/annonces/255725/,Studio,Rent,3,Yes,27 m²,0,0,1,Yes,No,0
134,"€ 2,500/month","2-room flat 33, Bld Prince Henri, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1627973/,Apartment,Rent,3,Yes,91 m²,2,2,0,0,No,0
135,"€ 1,250/month","Studio for rent, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1696791/,Studio,Rent,Ground floor,No,0,1,1,1,0,No,0
136,"€ 1,450/month","1-bedroom flat Rue le Bataclan 8, Belval-Université, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1700497/,Apartment | Full ownership,Rent,2,Yes,56 m²,2,1,1,Yes,0,0
137,"€ 1,400/month","Studio apartment Rue Waassertrap 163, Belval Nord, Sanem",https://www.immotop.lu/en/annonces/1670915/,Apartment | Full ownership,Rent,2,Yes,43 m²,1,0,1,Partially furnished,0,0
138,"€ 2,950/month","Single-family detached house rue de Luxembourg, Bridel, Kopstal",https://www.immotop.lu/en/annonces/1700951/,Single-family detached house,Rent,Ground floor,No,160 m²,3,3,1,0,Yes,"1 in garage/box, 2 in shared parking"
139,"€ 2,770/month","3-room flat ground floor, Berdorf Localité, Berdorf",https://www.immotop.lu/en/annonces/1703771/,Apartment,Rent,Ground floor,No,150 m²,3,3,2,0,Yes,0
