,Type,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,place,city,price
65,Apartment,2,1,76-116,2,2,1,0,1,0, Belair, Luxembourg,2300
66,Apartment,2,0,76-116,2,2,1,0,0,0, Mamer Localité, Mamer,2200
67,Apartment,0,1,167-215,3,3,2,0,1,0, Limpertsberg, Luxembourg,4200
68,detached house,0,0,0-42,5,5,3,0,1,0, Bonnevoie-Verlorenkost, Luxembourg,4000
69,Apartment,2,1,116-167,4,4,3,0,1,0, Moutfort, Contern,3850
70,Apartment,1,1,116-167,4,4,3,0,1,0, Moutfort, Contern,3750
71,Apartment,1,1,116-167,3,3,2,0,0,0, Moutfort, Contern,3250
72,Duplex,1,1,>215,5,5,3,0,1,0, Moutfort, Contern,4550
73,Apartment,0,1,42-75,1,1,1,0,0,0, Muhlenbach, Luxembourg,1750
74,detached house,3,0,116-167,4,4,2,0,0,0, Ville Haute, Luxembourg,3850
75,Apartment,3,1,42-75,1,1,2,0,0,0, Belair, Luxembourg,1780
76,detached house,0,0,116-167,3,3,2,0,0,0, Alzingen, Hesperange,3300
77,Studio,more,1,0-42,0,0,2,0,0,1, Belair, Luxembourg,1500
78,Apartment,2,0,42-75,1,1,1,0,0,0, Merl, Luxembourg,2000
79,Apartment,1,1,76-116,2,2,1,0,0,0, Kehlen Localité, Kehlen,1950
80,Apartment,1,1,76-116,2,2,2,0,0,0, Limpertsberg, Luxembourg,4400
